Bidder Company
"Headline; Bonnier Ventures; Samsung Ventures; EQT Ventures Fund; Heartcore Capital; EQT AB"
Accent Equity Partners AB
ValueAct Capital, LLC
"Y Combinator LLC; FundersClub Inc.; ACME Capital"
"Scale Capital; Hambro Perks Limited; Outward VC"
"Stephen Industries Inc Oy; EIC Fund; ACME Investments SPF Sarl"
"Vestas Wind Systems A/S; Almi Invest GreenTech fund; EIC Fund; Course Corrected VC Fund I AB; Falkenbergs Staed AB; SymbiaVC GmbH"
Tane Fund GmbH
"CapMan Plc; CapMan Nordic Infrastructure II Fund"
CVC Advisers Ltd
Axxelerator Capital AS
Pegroco Invest AB
Erhvervsinvest Management A/S
Hartwall Capital Ltd.
FSN Capital Partners AS
FSN Capital Partners AS
Vaaka Partners Oy
Octopus Ventures Limited
Norvestor Equity AS
Juuri Partners Oy
"Legal & General Capital Investments Limited; Nordic Alpha Partners; World Fund"
Monterro Software Investment AB
"EQT Partners AB; Accel; Northzone Ventures AS; Citi Ventures, Inc.; Quadrille Capital; FinTech Collective, Inc; Augmentum Fintech Plc"
"MW Investments BV; Altor Equity Partners AB; Marlin Equity Partners, LLC"
"Shell Ventures; Vinyl Capital LLC ; GenZero; SOUNDWaves"
"FSN Capital Partners AS; Verdane Capital"
"Finnish Industry Investment Ltd; Innovestor Oy"
"Mitsubishi Corporation; SINTEF; Nippon Steel Trading Co., Ltd. ; Trustbridge Partners; Hillhouse Capital Management, Ltd.; AP Ventures LLP; Firda AS; Finindus BV"
"Triton Partners; Crayfish BidCo"
Swen Capital Partners
Alder AB
CapMan Plc
Priveq Investment
Lynx Equity Limited
"MP Pensjon PK; OK Marine AS; EIC Fund; Ocean Impact AB"
"Symrise AG; Nordic FoodTech VC; Thia Ventures; NewTree Impact"
Investcorp SA
"Sofinnova Partners; SEB Venture Capital; Industrifonden AB; Almi Invest AB; Bunge Ventures Ltd.; Navigare Ventures AB"
Dansk Ejerkapital A/S
Nordic Capital
Blackstone Group International Partners LLP
"Industrifonden AB; Novo Holdings A/S; Wellington Partners; Sunstone Life Science Ventures A/S; Sanofi Ventures; BB Pureos Bioventures; Adjuvant Capital; Trill impact AB; LF Investment"
Mutares SE & Co. KGaA
Standout Capital
"First Fellow Partners Oy; Planet A GmbH"
Trill impact AB
"Menlo Ventures; EQT Ventures Fund"
"GGV Capital; Costanoa Ventures; Cowboy Ventures; ICONIQ Growth"
Pamica 2
"Public Sector Pension Investment Board; Sandbrook Capital"
Adelis Equity Partners AB
Adelis Equity Partners AB
Viking Venture Management AS
Allianz Capital Partners GmbH
"Sponsor Capital Oy; Existing Management"
"Verdane Capital; Inter IKEA Group; Philian Invest AB"
"Temasek Holdings Pte. Ltd.; Northzone Ventures AS; EQT Ventures Fund; AMF Fonder AB; Polar Structure AB"
Findos Investor GmbH
