Announced Date;Bidder Company;Seller Company
07.06.2022;"Mubadala Investment Company PJSC; EQT AB";"Cinven Partners LLP; Novo Holdings A/S"
03.06.2022;"ID Verde SAS; Armorica Danmark ApS";Gron Vaekst Holding AS
01.06.2022;Novedo Holding AB;"Carlson Investment Management; Sareq AB"
01.06.2022;Lojer Oy;Intera Partners Oy
31.05.2022;Carnegie;Carneo AB
31.05.2022;Bergkvarabuss AB;Pegroco Invest AB
30.05.2022;EG A/S;Viking Venture Management AS
25.05.2022;BELFOR Europe GmbH;Polaris Private Equity
24.05.2022;Trill impact AB;MB Funds
24.05.2022;Ahlsell AB;"Nordea AB; Jyske Bank; Danske Bank; Nykredit Bank A/S"
23.05.2022;"Ahlstrom Capital Oy; Nidoco AB";Ahlstrom-Munksjo Oyj
23.05.2022;Eniro AB;PEQ AB
18.05.2022;ITM8 Holding A/S;Axcel Management A/S
16.05.2022;Altor Equity Partners AB;Capillar Equity
16.05.2022;READ Cased Hole Limited;Norvestor Equity AS
09.05.2022;Norvestor Equity AS;Nomor Holding AB
04.05.2022;ZS;"PreSeed Ventures; Intomics Holdings A/S"
04.05.2022;Aleris AB;MVI Group
02.05.2022;Interwell AS;Herkules Capital AS
29.04.2022;Sanos Clinic A/S;LEO Pharma A/S
28.04.2022;Renevo Oy;Lehto Group PLC
27.04.2022;Triton Partners;Standout Capital
22.04.2022;Multi-Wing International a/s;Fabrika AS
20.04.2022;Driv Kapital Forvaltning AS;"Mona Jensen (Private Investor); Morten Isachsen (Private Investor)"
20.04.2022;Padel United Intressenter Sverige AB;Fidelio Capital AB
13.04.2022;"Procuritas AB; LGT Capital Partners Ltd.; Puskala Invest Oy";Procuritas Capital Investors V LP
12.04.2022;Visit Technology Group AB;Standout Capital
12.04.2022;Realsolv AB;"Ilvonen Korporaatio Oy; Kristian Ilvonen Oy"
07.04.2022;Accent Equity Partners AB;SEB Private Equity
06.04.2022;"Norsk Hydro ASA; Altor Equity Partners AB";ELKEM ASA
05.04.2022;Assemblin AB;Aspskaren Invest AB
31.03.2022;GlobalConnect A/S;Wizer A/S
30.03.2022;Ratos AB;Segulah Advisor AB
25.03.2022;Storskogen Group AB (publ);Accent Equity Partners AB
22.03.2022;WeSports Scandinavia AB;"e-Business Partner Norden AB; Slash Investments AB"
22.03.2022;"HitecVision AS; Areim AB; Infranode; Hafslund Eco AS";Fortum Oyj AB
22.03.2022;Tbd30 Ab;Capillar Equity Fund I AB
21.03.2022;Bufab Holding AB;Nordic Capital
16.03.2022;HitecVision AS;TronderEnergi AS
11.03.2022;Asker Healthcare Group;Dansk Generationsskifte AS
07.03.2022;Lassenteret AS;Heikki Eiendom AS
02.03.2022;Visma AS;Creandum
01.03.2022;Renta Group Oy;"Terje Stykket (Private Investor); Rune Isachsen (Private Investor)"
28.02.2022;C Medical Group AS;Akerud Medical Consulting AB
28.02.2022;Rebellion Capital;"Fredrik Borjesson (Private Investor); Joakim Borjesson (Private Investor)"
28.02.2022;Undisclosed bidder;Cleantech Invest Plc
22.02.2022;Nordstjernan AB;Axcel Management A/S
21.02.2022;"Existing Management; Vaaka Partners Oy";"Alma Media Oyj; Bocap Investment Oy"
18.02.2022;Existing Management;EQT Partners AB
17.02.2022;Reach Subsea ASA;Norvestor Equity AS
16.02.2022;Advania AB;Adelis Equity Partners AB
02.02.2022;"Nokia Oyj; Withings France SA";"Creandum; Eight Roads Ventures India"
31.01.2022;DLVRY AS;Axcel Management A/S
31.01.2022;DLVRY AS;Axcel Management A/S
31.01.2022;Undisclosed bidder;Juuri Partners Oy
27.01.2022;Novedo Holding AB;"Dennis Hedström (Private Investor); Nenad Blagojevic (Private Investor)"
27.01.2022;"Existing Management; Verdane Capital";Standout Capital
20.01.2022;Sandahlsbolagen Sweden AB;Bure Equity AB
18.01.2022;"Verdane Capital; Instabox AB";Verdane Capital
18.01.2022;Stena Sessan AB;Monterro 1 AB
18.01.2022;Cube Infrastructure Managers S.A.;Ringerikskraft AS
17.01.2022;Aditro Logistics AB;PEQ Invest 1 AB
12.01.2022;Jernbro Industrial Services AB;Axel Johnson AB
12.01.2022;Handverksgruppen AS;"Ronnie Osterberg (Private Investor); Thomas Osterberg (Private Investor)"
06.01.2022;"Existing Management; Adelis Equity Partners AB";Capidea Management ApS
31.12.2021;Mimir Invest AB;Outotec Oyj
28.12.2021;"Nordic Capital; Coller Capital Limited; Goldman Sachs Asset Management, L.P.; Pantheon Ventures Inc";Nordic Capital
