Announced Date;Bidder Company;Seller Company
11.01.2021;Zisson AS;"StartupLab AS; Epak AS; Transaction Services AS; Claes Rickard Hellberg (Private Investor); Leif Christian Sternell (Private Investor); Irene Waage Basili (Private Investor); Creuna Design AS; Enholm Holding AS; Daber AS"
07.01.2021;WallVision AB;Mammelina AB
07.01.2021;Intera Partners Oy;"Atte Kukkonen (Private Investor); Heidi Taipale (Private Investor)"
07.01.2021;Confirmit AS;EQT Partners AB
06.01.2021;Widex A/S;EQT Partners AB
04.01.2021;Saari Partners Oy;Stella Kotipalvelut Oy
29.12.2020;Egmont International Holding A/S;"Verdane Capital; eEquity AB"
24.12.2020;Sandvik AB;Triton Partners
22.12.2020;Visma AS;Etrinell AS
22.12.2020;Bure Equity AB;Verdane Capital
18.12.2020;Catacap Management A/S;International Trade Holding A/S
17.12.2020;Cooperative Tradeka Corporation;MB Funds
15.12.2020;Simployer AS;"Luminar Ventures AB; Cloud Capital"
15.12.2020;Heimstaden Bostad AB;Niam AB
14.12.2020;Ahlsell AB;Tisenhult-gruppen AB
14.12.2020;Latour Industries AB;Verdane Capital
13.12.2020;BHG Group AB;"Nordstjernan AB; Karl-Johan Persson (Private Investor); Nicklas Storakers (Private investor); COE Investments AB; Joergen Boedmar (Private Investor)"
10.12.2020;EQT Partners AB;Polaris Private Equity
09.12.2020;Konstel AS;"Knut Eidem (Private Investor); Linda Haarstad Eidem (Private Investor)"
09.12.2020;Assemblin AB;Procuritas AB
04.12.2020;Nordomatic AB;Nordlund & Nystrom El & Styr AB
02.12.2020;Eco Log Sweden AB;Weland AB
02.12.2020;IT Relation A/S;"Jakob Heidelberg (Private Investor); Claus Vesthammer (Private Investor); Kenni Lund (Private Investor)"
30.11.2020;Kevin Wright (Private Investor);Scope Capital Advisory AB
30.11.2020;LeadDesk Oy;"Almi Invest AB; Futuremind Invest AB; Great Lake Capital AB; MIC Vardepapper"
30.11.2020;Sortera Group AB;Vaipurco Oy
26.11.2020;Moment A/S;"Brondum Nielsen Invest ApS; Ejendoms- og Materieludlejning ApS"
25.11.2020;Desenio Group AB (publ);"Oskar Renlund (private investor) ; Tobias Renlund (private investor)"
24.11.2020;Telenor ASA;"Creandum; Inventure Oy; Butterfly Ventures Oy"
23.11.2020;"Existing Management; Employees; Waterland Private Equity Investments B.V.";VIA Equity A/S
19.11.2020;Frankenius Equity AB;Nordic Capital
17.11.2020;Herkules Capital AS;Sinco AS
16.11.2020;Segulah Advisor AB;"Emil Gyllenring (Private Investor); Ivar Algvere (Private Investor)"
13.11.2020;Viking Venture Management AS;"Mvp Holding 2007 ApS; Birk Lund Holding ApS; Lanstorp Holding ApS; SMCE Holding ApS; Skydsdal Holding ApS; Thomas Gudmandsen (Private Investor); Soren Oxenhave (Private Investor); Jon Lykke (Private Investor); Fredrik Moerkeberg (Private Investor)"
09.11.2020;Recover Nordic AS;Mikael Martinsson (Private Investor)
06.11.2020;Nordisk Bergteknik AB;Freddy Flodman (Private Investor)
04.11.2020;IKM Gruppen AS;CapMan Plc
03.11.2020;Klinikk for Alle AS;"NPL Holding AS; Victor Saxing (Private Investor)"
03.11.2020;Assemblin AB;"Ari Forsstrom (Private Investor); Tero Forsstrom (Private Investor); Master Yhtiot Oy"
30.10.2020;Good Food Group A/S;Reinevald Holding ApS
29.10.2020;Sievi Capital Plc;Jyrki Lehti (Private Investor)
28.10.2020;Footway Group AB;"Verdane Capital; eEquity AB"
28.10.2020;Ceder Capital;Jurkbolagen AB
27.10.2020;Monterro Software Investment AB;Almi Invest AB
15.10.2020;Axcel Management A/S;"Installationsgruppen Invest Gbg AB; OA Smedby AB"
15.10.2020;Axcel Management A/S;"Bygg- och installationsgruppen svenska AB; Fredrik Ljungkvist (Private Investor)"
15.10.2020;Axcel Management A/S;"Venten AB; Skotte Consulting AB"
12.10.2020;"Jerker Levin (Private investor); Goodfellows Ventures; Yngvesson family";Novax AB
08.10.2020;Prosero Security Group;"Johan Alkehed (Private Individual); Petter Alkehed (Private Individual)"
07.10.2020;Midsona AB;BWB Partners P/S
07.10.2020;REKOM Group A/S;"Rune Johansen (Private investor); Karsten Quiel (Private investor); Tom Snustad (Private investor); Lars Eikefjord (Private investor)"
06.10.2020;Esbjerg Brygge Invest A/S;Mogens Olsen (Private investor)
05.10.2020;Pivot Partners AB;"Almi Invest AB; Partnerinvest Norr; Ackrainvest AB; Ekstrom Invest"
01.10.2020;Enea AB;Norvestor Equity AS
30.09.2020;A consortium led by Industri Udvikling A/S;Brunsgaard Holding ApS
27.09.2020;Iver AB;Johan Christenson (Private Investor)
26.09.2020;EQT Partners AB;Chr. Hansen Holding A/S
18.09.2020;Folmer Management Oy;Alexandre Donier (Private Investor)
18.09.2020;Alt Til Barnet Holding ApS;"Polaris Private Equity; AAC Capital Partners"
16.09.2020;Kahoot! ASA;Promentum Equity Partners
15.09.2020;Norva24 Group AB;"Pontus Jonsson (Private Investor); Andreas Jacobson (Private Investor)"
14.09.2020;Valtti Kumppanit Oy;Sininen Meteoriitti Oy
11.09.2020;Wictor Family Office;"Staffan Persson (Private Investor); Varenne AB; Ulf Eklof (Private Investor); Bo Eklof (Private Investor)"
10.09.2020;AddSecure AB;Telia Finland Oyj
10.09.2020;Conscia Holding A/S;Thomas Gronne (Private Individual)
10.09.2020;NFT Ventures;Collector Bank AB
04.09.2020;Confirma Software;"Aarno Hartikainen (Private Investor); Ulla Hartikainen (Private Investor)"
03.09.2020;DNB Bank ASA;EQT Partners AB
03.09.2020;Nordic Capital;"Summit Partners LLP; Morten Ebbesen (Private Investor); Niels Ebbesen(Private Investor)"
01.09.2020;Existing Management;Bonnier Ventures
01.09.2020;Recover Nordic AS;Larry Hojer (Private investor)
31.08.2020;Nordlo AB;Appex Operations AS
31.08.2020;Impilo AB;"Hans Krog (Private Investor); Ursula Bentin-ley (Private Investor)"
31.08.2020;"EQT Partners AB; Caisse de Depot et Placement du Quebec";IK Partners
24.08.2020;Tass AB;Small Cap Partners
24.08.2020;Blue Equity Management A/S;"Susanne Provstgaard (Private Individual); Peter Provstgaard (Private Individual)"
17.08.2020;Eco Log Sweden AB;Weland AB
11.08.2020;Damgaard-Jensen A/S;Brand Factory Group AB
10.08.2020;House of Control Group AS;Viking Venture Management AS
06.08.2020;Best Transport AB;Easy2You
04.08.2020;Priveq Investment;"Sebastian Petersen (Private Investor); Mikkel Andersen (Private Investor); Martin Hojberg Christiansen (Private Investor)"
22.07.2020;Verdane Capital;Bianca Ingrosso (Private Investor)
17.07.2020;Trill impact AB;Adelis Equity Partners AB
16.07.2020;Citypress Stockholm AB;Segulah Advisor AB
14.07.2020;Polaris Private Equity;"Lars Larsen (Private Investor); Peter Papuga  (Private Investor)"
14.07.2020;Polaris Private Equity;Carsten Papuga (Private Investor)
14.07.2020;Polaris Private Equity;Lars Larsen (Private Investor)
14.07.2020;Polaris Private Equity;Mogens Pedersen (Private Investor)
14.07.2020;"EQT Partners AB; TA Associates Management, LP.";EQT VII Fund
10.07.2020;Cubera Private Equity AS;Equip Capital AS
08.07.2020;Verdane Capital;"Johan Andersson (Private Investor); Svenska Defence AB"
08.07.2020;Storytel AB;"Northzone Ventures AS; Bonnier Ventures; Inbox Capital AB"
06.07.2020;Assemblin AB;Broderna Brolins Fastigheter AB
03.07.2020;Joakim Bogfelt (Private Investor);Accent Equity Partners AB
02.07.2020;Lounea Oy;Folmer Management Oy
02.07.2020;Laeringsverkstedet AS;Korona Invest Oy
02.07.2020;Axcel Management A/S;Adelis Equity Partners AB
01.07.2020;DanaWeb A/S;"Mads Thomsen (Private investor); Phillip Kaas (Private investor)"
01.07.2020;Visma AS;Smedvig Capital AS
30.06.2020;HMIG ApS;Erhvervsinvest Management A/S
29.06.2020;OpusCapita Solutions Oy (Cash Management business segment);Verdane Capital
29.06.2020;Altor Equity Partners AB;Peas Industries
23.06.2020;Nordic Healthcare Group Oy;"Ivan Holding ApS; Forbindelsen Holding ApS; Lindquist Holding ApS"
10.06.2020;PHM Group;Vaaka Partners Oy
04.06.2020;Nofitech AS;"Henrik Mortensen (Private Investor); Kurt Carlsen (Private Investor)"
03.06.2020;Solor Bioenergi Fjarrvarme AB;"Infranode; Asper Investment Management Limited"
22.05.2020;Tellu IoT AS;Telenor ASA
19.05.2020;Elekta AB;"Finnish Industry Investment Ltd; Reaktor Ventures; Athensmed Oy"
18.05.2020;Templafy ApS;Promentum Equity Partners
15.05.2020;Storskogen Group AB (publ);"Fredrik Englund (Private Investor); Patrik Antonsson (Private Investor)"
14.05.2020;PEQ AB;Jarven AB
08.05.2020;Eleda Group;Altor Equity Partners AB
07.05.2020;Verdane Capital;Serendipity Partners AS
22.04.2020;Verdane Capital;Manus Family
21.04.2020;ProData Consult A/S;Amesto Group AS
16.04.2020;Sakra AB;Kent Holmberg (Private investor)
14.04.2020;Axcel Management A/S;Visma AS
06.04.2020;Sakra AB;Lars Persson (Private investor)
02.04.2020;Sakra AB;Messum AB
01.04.2020;Sakra AB;IronWill Holding AB.
30.03.2020;CapMan Plc;Arctos Equity Partner
20.03.2020;Sval Energi AS;Lundin Energy AB
17.03.2020;Existing Management;Litorina Capital Advisors AB
13.03.2020;Capillar Equity;Dr. Fred Helgesen (Private Investor)
13.03.2020;Orgo Tech AB;"New Equity Venture International AB; Tourn International Ab"
11.03.2020;Norvestor Equity AS;Intera Partners Oy
09.03.2020;IBL Group;BWB Partners P/S
05.03.2020;Dansani A/S;CapMan Plc
03.03.2020;"Litorina Capital Advisors AB; Bragnum Invest Holding AB";Segulah Advisor AB
03.03.2020;Finnsiirto Oy;Matti Rautionmaa (Private Investor)
03.03.2020;Finnsiirto Oy;"Pekka Kolehmainen (Private Investor); Tommi Kolehmainen (Private Investor)"
03.03.2020;Blue Equity Management A/S;"Stibo A/S; Martin Hogsted (Private Investor); Kasper Kamp Simonsen (Private Investor)"
03.03.2020;Alinea;"Vaekstfonden; Kasper Holst Hansen (Private Investor)"
27.02.2020;Unifon AS;Contango Kapital AS
26.02.2020;"Goldman Sachs Merchant Banking Division; Summa Equity Fund II";"Viking Venture Management AS; Summa Equity Fund I"
25.02.2020;Saxo Payments Banking Circle;Bumble Ventures
24.02.2020;Posti Group Oyj;Valedo Partners
19.02.2020;Fasadgruppen Group AB;Sterner Stenhus AB
19.02.2020;"Verdane Capital; Zobito AB";Erik Martin Vik (Private investor)
07.02.2020;eEquity AB;Nordstjernan AB
05.02.2020;CapMan Plc;Avantor ASA
03.02.2020;Polygon International AB;DBK Invest A/S
31.01.2020;Existing Management;Norvestor Equity AS
17.01.2020;Dansk Ejerkapital A/S;"Peter Wendorff Olsen (Private investor); Mette Norgaard (Private investor)"
17.01.2020;Evolver Investment Group Ltd.;Halvor Sandbu (Private Investor)
17.01.2020;Verdane Capital;Hans Ottosen (Private Investor)
16.01.2020;Litorina Capital Advisors AB;Atleto Holding AS
15.01.2020;Abilia AB;Pamica Group AB
10.01.2020;JCE Group AB;Fouriertransform AB
10.01.2020;Den Sociale Kapitalfond Management ApS;Gl. Tved Holding
07.01.2020;Prototal AB;"Jesper Damvig (Private Investor); Susanne Damvig (Private Investor)"
07.01.2020;"Finnish Industry Investment Ltd; Sievi Capital Plc";Kiitokori Oy
23.12.2019;Accent Equity Partners AB;CapMan Plc
23.12.2019;"Jukka Kristo (Private Investor); Tommy Innala (Private Investor); Mari Onkamo (Private Investor)";Intera Partners Oy
21.12.2019;Nordic Capital;Consilium AB
20.12.2019;Bulten AB;EQT Partners AB
19.12.2019;Piab AB;SEB Venture Capital
19.12.2019;Melker Schorling AB;EQT Partners AB
18.12.2019;Schibsted ASA;"Aller Media AB; Tjuvholmen Ventures Inc."
17.12.2019;AddSecure AB;Stella Kotipalvelut Oy
16.12.2019;"Peter Condrup (Private Investor); Johan Halvardsson (Private Investor)";Triton Partners
13.12.2019;Fasadgruppen Group AB;Andreas Illerfelt (Private Investor)
13.12.2019;Saimaan Eristys Oy;Sponsor Capital Oy
12.12.2019;Norva24 Group AB;Per Daniel Goransson (Private Investor)
12.12.2019;All Things Live Group ApS;Elina Krantz  (Private Investor)
10.12.2019;Storskogen Group AB (publ);Ledstiernan AB
10.12.2019;Aleris AB;Praktikertjanst AB
09.12.2019;Nalka Invest AB;Valedo Partners
09.12.2019;Nederman Holding AB;Alder AB
05.12.2019;SSG A/S;"Slattmyr & Co Investment AB; Elaize Style AB; Lazar Invest AB"
05.12.2019;Sanoma Oyj;EQT Partners AB
04.12.2019;Canelco Capital Oy;Tapio Hussin (Private Investor)
27.11.2019;"DWS Group GmbH & Co. KGaA; Argentum Fondinvesteringer AS";Norvestor Equity AS
26.11.2019;Enhanced Drilling Holding AS;IKM Gruppen AS
21.11.2019;Oral Care AB;"Anne Lise Helsingen (Private Investor); Wenche Hagalokken (Private Investor)"
20.11.2019;A/S Motortramp;"Nordic Mezzanine Advisers Limited; Togu Aps; MST Finance & Consult ApS; Lerche A/S; Roar B. Jensen Holding ApS; NST Consulting ApS; Susanne Henriques Busck (Private investor)"
20.11.2019;Broodstock Capital;Eagle AS
12.11.2019;Broodstock Capital;"Midvestor Management AS; Bolgen Invest AS"
11.11.2019;Momentum Group AB;Nordstjernan AB
10.11.2019;FSN Capital Partners AS;BWB Partners P/S
06.11.2019;Solita Oy;"Existing Management; Carl Tivelius (Private Investor); Anders Tholen (Private Investor); Johan Thyblad (Private Investor)"
05.11.2019;FSN Capital Partners AS;Sobro AB
04.11.2019;Temporary Space Nordics;GSV Materieludlejning A/S
31.10.2019;CapMan Plc;Telia Company AB
30.10.2019;Catacap Management A/S;VXC Holding ApS
29.10.2019;Verdane Capital;Kistefos AS
21.10.2019;Polaris Private Equity;BWB Partners P/S
16.10.2019;Verdane Capital;"LahiTapiola Group; Elo Mutual Pension Insurance Company"
15.10.2019;Nordic Capital;Sievi Capital Plc
08.10.2019;Ropo Capital OY;Collector AB
01.10.2019;Litorina Capital Advisors AB;"Sportmanship Invest AB ; Fidelio Capital AB"
30.09.2019;Triton Partners;"Verdane Capital; Foinco Invest AS"
23.09.2019;Jernbro Industrial Services AB;Veolia Sverige AB
04.09.2019;MOMEK Group AS;HitecVision AS
02.09.2019;Ernstromgruppen AB;Enerpoint Oy
27.08.2019;Verdane Capital;Novax AB
23.08.2019;Vaekstpartner Kapital ApS;Aage Agergaard (Private investor)
20.08.2019;Credo Partners AS;Bryn family
19.08.2019;"Nordic Capital; Sampo plc";Norwegian Air Shuttle ASA
16.08.2019;Coronaria Oy;Intera Partners Oy
15.08.2019;Zefyr Invest A/S;Michael Zohner Pedersen (Private investor)
14.08.2019;Nordic Choice Hotels AS;"CapMan Plc; Berling Capital Oy; Rake Oy"
07.08.2019;EQT Partners AB;IK Partners
06.08.2019;Schur International A/S;"PKA Alternative Investment Partners; Maj Invest Equity A/S"
15.07.2019;EV Private Equity;Altor Equity Partners AB
15.07.2019;Loopia AB;Binero Group AB
12.07.2019;Triton Partners;Investor AB
10.07.2019;A.P. Moller Holding A/S;Solix Group AB
10.07.2019;Procuritas AB;Askeladden & Co
05.07.2019;Equip Capital AS;Haagaas Invest AS
05.07.2019;Sobro AB;Thomas Sparring (Private Investor)
05.07.2019;Eezy Oyj;NoHo Partners Plc
05.07.2019;Baneservice AS;Herkules Capital AS
04.07.2019;Iver AB;Norvestor Equity AS
02.07.2019;Miss Group;Ilait Group AB
02.07.2019;Mimir Invest AB;Koskisen Oy
28.06.2019;Nalka Invest AB;WilRon Holding AB
28.06.2019;Dansk Generationsskifte AS;"Tonnie Nygaard (Private investor); Lars Nygaard (Private investor)"
28.06.2019;Procuritas AB;"Michael Severin (Private Investor); Anne Dorthe Hjort (Private Investor)"
26.06.2019;VIA Equity A/S;Danske Spil A/S
25.06.2019;SP Group A/S;Aboa Venture Management Oy
24.06.2019;HR Nordic Holding AS;FH Kapital AB
21.06.2019;Karo Healthcare AB;"HealthCap; Avista Capital Partners LP"
20.06.2019;Visma AS;Maj Invest Equity A/S
18.06.2019;Altor Equity Partners AB;Magnus von Haartman (Private Investor)
18.06.2019;Altor Equity Partners AB;"Mats-Ove Eriksson (Private Investor); Torsten Pettersson (Private Investor)"
13.06.2019;Priveq Investment;Per Ejerhed (Private investor)
12.06.2019;Siljan Group AB;Bergkvist family
11.06.2019;Mimir Invest AB;Epiroc AB
11.06.2019;EQT Infrastructure IV;EQT Partners AB
11.06.2019;Altor Equity Partners AB;eEquity AB
03.06.2019;EG A/S;Lindbak Gruppen AS
03.06.2019;"Credo Partners AS; Erle Invest AS; First Process Holding AS";Havyard Group AS
29.05.2019;Dansk Ejerkapital A/S;"Lars Lauridsen (Private investor); Jette Wittrup (Private investor)"
29.05.2019;Accent Equity Partners AB;Connecting Capital
28.05.2019;Verdane Capital;Canica AS
27.05.2019;Existing Management;Segulah Advisor AB
27.05.2019;Skitude Holding AS;"Canica AS; Investinor AS; The Crowd Angel SL; Norselab Holding AS; Draper B1; Bagi Inversions SL"
23.05.2019;Walki Group Oy;Sponsor Capital Oy
19.05.2019;Visolit AS;HitecVision AS
16.05.2019;Componenta Corporation;"CapMan Plc; Fortaco Group Oy"
16.05.2019;E.ON Sverige AB;EQT Partners AB
14.05.2019;Polygon International AB;Tehopartner Oy
09.05.2019;Danoffice IT ApS;Datacon Group Aps
08.05.2019;Ficolo Oy;Fujitsu Finland Oy
07.05.2019;Sensio AS;"Egil Rove (Private investor); Gro Rove (Private investor)"
07.05.2019;Sentica Partners Oy;Swanljung family
03.05.2019;Helix Kapital AB;Roger Baburin (Private Individual)
02.05.2019;TGS ASA;Altor Equity Partners AB
02.05.2019;Ahlens AB;Novax AB
30.04.2019;Investeringsselskabet Af 18. Marts 2013 ApS;Bjert Private Equity A/S
30.04.2019;Sogemedier A/S;DEMZ Invest AB
29.04.2019;AQ Group AB;Intera Partners Oy
29.04.2019;BRP Systems AB;"Adeptio AB; Costell Holding AB; JAX Holding i Limhamn AB"
25.04.2019;GlobalConnect A/S;Peter Durup (Private Investor)
15.04.2019;Foxway AB;Summa Equity AB
15.04.2019;EQT Partners AB;Dellner Family
12.04.2019;IK Partners;Infrea AB
11.04.2019;Nordic Capital;"Viking Venture Management AS; Secure Identity Holding AS"
04.04.2019;Blue Equity Management A/S;Tommy Nors (Private Investor)
03.04.2019;Miss Group;Fredrik Skold (Private Investor)
03.04.2019;Axcel Management A/S;Peter Bower (Private Investor)
02.04.2019;IT Relation A/S;VIA Equity A/S
01.04.2019;"Ilmarinen Mutual Pension Insurance Company; Sjatte AP-fonden";Nalka Invest AB
29.03.2019;Dustin Group AB;Sentica Partners Oy
29.03.2019;K-rauta AB;"Litorina Capital Advisors AB; Oscarson Invest AB"
08.03.2019;"Fidelio Capital AB; Realsolv AB";"Misselle AB; Tantal Investment AB; Triega AB"
06.03.2019;Helsepartner Nord-Norge;Landsforeningen for hjerte- og lungesyke
01.03.2019;Nordic Capital;Axcel Management A/S
01.03.2019;KiiltoClean Oy;Segulah Advisor AB
25.02.2019;Adelis Equity Partners AB;"Sentica Partners Oy; KPY Sijoitus Oy"
20.02.2019;Den Sociale Kapitalfond Management ApS;Bo Olsen (Private Investor)
19.02.2019;TDC A/S;"Seed Capital Denmark; PreSeed Ventures"
15.02.2019;Undisclosed bidder;Sentica Partners Oy
14.02.2019;Kinnevik AB;"Verdane Capital; Ferd Capital"
13.02.2019;Fidelio Capital AB;AniCura AB
13.02.2019;Thirdpresence Oy;Superhero Capital
13.02.2019;"Alecta Pensionsforsakring Omsedisigt; Sjatte AP-fonden";EQT Partners AB
13.02.2019;Mestergruppen AS;Norum family
11.02.2019;Blocket AB;"Claes Dinkelspiel (Private Investor); Lars Lindgren (Private Investor); Bo Mattsson (Private Investor); DHS Venture Partners AB; J12 Ventures AB"
08.02.2019;Summa Equity AB;Jonkoping Business Development AB
08.02.2019;Adelis Equity Partners AB;Rauff Mikkelsen (Private Investor)
06.02.2019;Ulrich Mosegaard  (Private Investor);Dansk Ejerkapital A/S
06.02.2019;Maj Invest Equity A/S;The Wendelbo family
04.02.2019;Alvardag Group Oyj;"Sentica Partners Oy; Sisco Asunnot Oy"
01.02.2019;Realsolv AB;Hjelmarhall Invest och Forvaltning AB
31.01.2019;Iver AB;BAS Invest AB
31.01.2019;Cibicom;Relacom Sverige AB
28.01.2019;Indentive AB;Scope Capital Advisory AB
28.01.2019;Humana AB;Coronaria Oy
24.01.2019;Marieholms Industrirengoring AB (MIAB);"Juuri Partners Oy; Nurmi Family; Suvi Kuusisto (Private Individual); Aarne Hallama (Private Individual)"
22.01.2019;Track Group AB;Polaris Private Equity
21.01.2019;Morenot AS;Breivei AS
21.01.2019;Nordic Capital;Altor Equity Partners AB
16.01.2019;"Skattum Eiendom AS; SKB Eiendom AS; Olsen Eiendom AS";"H.I.G. Capital, LLC; Arne Blystad (Private Investor); Ness, Risan & Partners AS"
14.01.2019;Unicare Holding AS;Landsforeningen for hjerte- og lungesyke
14.01.2019;Karnell;Eton Innovation AB
14.01.2019;Executive Capital A/S;"Lars Elgard Nielsen (Private Investor); Allan Sorrig (Private Investor)"
14.01.2019;Ratos AB;Daniel Spasic (Private Invetor)
11.01.2019;Segulah Advisor AB;"Franck family; Per Hannius (Private Investor)"
10.01.2019;Meniga Ltd.;"Nordea AB; Greylock Partners; Qualcomm Ventures; Creandum; Atomico; NFT Ventures"
10.01.2019;Andersen family;Axcel Management A/S
09.01.2019;Unicare Holding AS;Tris Holding AS
28.12.2018;Jula Postorder AB;Nalka Invest AB
18.12.2018;Cegal AS;Avito AS
18.12.2018;Scope Capital Advisory AB;Peter af Buren (Private Investor)
18.12.2018;Storskogen Group AB (publ);Provator AB
18.12.2018;Accent Equity Partners AB;Herstal Holding ApS
13.12.2018;Bellman Group AB;Roger Hansson (Private Investor)
12.12.2018;Waterland Private Equity ApS;"Pernille Moller Pedersen (Private Investor); Kim Worsoe (Private Investor)"
12.12.2018;Waterland Private Equity ApS;"Pernille Moller Pedersen (Private Investor); Kim Worsoe (Private Investor)"
12.12.2018;Waterland Private Equity ApS;Mark Vaughan (Private Investor)
11.12.2018;A consortium led by Polaris Private Equity and Acathia Capital GmbH;Danica Pension A/S
07.12.2018;First Geo AS;"DNB ASA; Silverfleet Capital Partners LLP; Nordea AB"
07.12.2018;Norvestor Equity AS;Herkules Capital AS
03.12.2018;Nord Kapitalforvaltning AS;Svein Mjoen (Prvate Investor)
03.12.2018;Gapyel AB;"eEquity AB; Magnus Johansson (Private Investor)"
03.12.2018;GSV Materieludlejning A/S;Ramirent Plc
30.11.2018;Rovio Entertainment Oyj;"Northzone Ventures AS; Creandum; London Venture Partners LLP"
30.11.2018;Maj Invest Equity A/S;"Torben Christensen (Private Investor); Allan Christensen (Private Investor); Otto Christensen (Private Investor)"
30.11.2018;Maj Invest Equity A/S;"Torben Christensen (Private Investor); Allan Christensen (Private Investor); Otto Christensen (Private Investor)"
29.11.2018;Maj Invest Equity A/S;Blue Equity Management A/S
27.11.2018;AB Max Sievert;Accent Equity Partners AB
23.11.2018;Mimir Invest AB;Caverion Corporation
22.11.2018;Whyred AB;"Varenne AB; Stefan Soederberg (Private Investor); Ann Ringstrand (Private Investor)"
21.11.2018;Lideta Malardalen AB;Aleris AB
21.11.2018;Efore Plc;Verdane Capital
20.11.2018;Sentica Partners Oy;Nordia Management Oy
14.11.2018;Ronald A/S;Capidea Management ApS
08.11.2018;IK Partners;Waterland Private Equity Investments B.V.
05.11.2018;"Finnish Industry Investment Ltd; Partnera Oy";Jarkir Oy
05.11.2018;OneMed Oy;"Kimmo Silvennoinen (Private Investor); Marita Smolander (Private Investor)"
01.11.2018;Ramudden AB;Pete Willman (Private Investor)
31.10.2018;Solix Group AB;Wartsila Corporation
30.10.2018;Sobro AB;"Mr. Peter Galli (Private Investor); Mr. Marcus Murray (Private Investor)"
29.10.2018;Undisclosed bidder;Sentica Partners Oy
15.10.2018;Green Landscaping AB;Nalka Invest AB
12.10.2018;MVI Group;Simon Simonnaes (Private Investor)
10.10.2018;Molslinjen A/S;"Danish Ministry of Transport and Energy; Clipper Group A/S"
05.10.2018;Solix Group AB;"Dansk Ejerkapital A/S; Mikkel Jacobsen (Private investor)"
02.10.2018;Pamica Group AB;Loihde Oy
28.09.2018;Posti Group Oyj;MB Funds
25.09.2018;Alder AB;Verdane Capital
21.09.2018;Odelav 17 AB;Dansk Ejerkapital A/S
13.09.2018;Rootfruit Scandinavia AB (publ);Credelity Capital AB
12.09.2018;Gudrun Sjoeden (Private Investor);Ratos AB
10.09.2018;Summa Equity AB;MVI Group
04.09.2018;StormGeo AS;NHST Media Group
03.09.2018;Novax AB;Revide Group AB
02.09.2018;Verdane Capital;Skagerak Maturo AS
31.08.2018;Polaris Private Equity;Falck Danmark A/S
29.08.2018;Polaris Private Equity;Falck Danmark A/S
28.08.2018;DEAS A/S;Nordea AB
15.08.2018;Priveq Investment;Pierre Bjurhager (Private investor)
07.08.2018;MS2 Invest Oy Ab;Maj Invest Equity A/S
31.07.2018;Triton Partners;SKF AB
30.07.2018;Procuritas AB;Ramirent Plc
27.07.2018;"ATP Group; 3i Infrastructure plc";EQT Partners AB
19.07.2018;Sellbranch AB;"Northzone Ventures AS; Kreos Capital; Industrifonden AB"
17.07.2018;Volati AB;Accent Equity Partners AB
12.07.2018;Royal Unibrew A/S;"Siparex Groupe ; Jean Pierre Barjon (Private investor)"
11.07.2018;Helix Kapital AB;Hedask Forvaltning AB
09.07.2018;Adelis Equity Partners AB;Herkules Capital AS
09.07.2018;Jotunfjell Partners AS;Eltel AB
09.07.2018;EQT Partners AB;Saxo Bank A/S
06.07.2018;Helix Kapital AB;Sandstrom family
05.07.2018;Katalysator AS;CapMan Plc
03.07.2018;Vicore Pharma Holding AB;"HealthCap; Nanologica AB"
02.07.2018;4service AS;Steg AS
01.07.2018;Var Energi AS;HitecVision AS
28.06.2018;"Altor Equity Partners AB; TryghedsGruppen smba";Parken Sport & Entertainment A/S
27.06.2018;KLP;Stena Adactum
27.06.2018;AMF Pensionsforsakring AB;Stena Adactum
26.06.2018;Cramo Plc;Nalka Invest AB
25.06.2018;Mellby Gard AB;Valedo Partners
20.06.2018;Okea ASA;A/S Norske Shell
20.06.2018;Fresks Group AB;"Kay Stralin (Private Investor); Leo Stralin (Private Investor)"
20.06.2018;Kiilto Oy;PEQ AB
18.06.2018;Axcel Management A/S;Visma AS
18.06.2018;Norvestor Equity AS;CapMan Plc
18.06.2018;IK Partners;KPMG AB
17.06.2018;Triton Partners;"Christian Nordwall (Private Investor); Marcus Nordwall (Private Investor)"
15.06.2018;Ceder Capital;Connecting Capital
14.06.2018;Quant AB;Vaaka Partners Oy
12.06.2018;Connecting Capital;Mikael Karlsson (Private Investor)
08.06.2018;Segulah Advisor AB;Fouriertransform AB
06.06.2018;Holta Invest AS;CapMan Plc
05.06.2018;Administer Oy;Sentica Partners Oy
04.06.2018;IK Partners;A-Katsastus Oy
04.06.2018;FSN Capital Partners AS;Ceder Capital
30.05.2018;SSG A/S;Accent Equity Partners AB
29.05.2018;TempCon Logistics AB;Peter Claesson (Private Investor)
29.05.2018;"Axcel Management A/S; Chr. Augustinus Fabrikker A/S";Jacob Gudmund Olsen (Private Investor)
22.05.2018;AddSecure AB;Chalmers Ventures AB
18.05.2018;"Argentum Fondinvesteringer AS; Cahill Innovation Inc.";"Scottish Enterprise; EV Private Equity"
18.05.2018;First Mover Group AS;Reiten & Co
18.05.2018;"CVC Advisers Ltd; Ilmarinen Mutual Pension Insurance Company; LahiTapiola Group; Varma Mutual Pension Insurance Company";"KKR & Co. Inc. ; Triton Partners"
16.05.2018;Linka Energy A/S;"Alder AB; Magnus Holmgren (Private Investor)"
15.05.2018;Existing Management;Greystone Capital A/S
15.05.2018;Roadworks AS;Agder Energi AS
